Observation,Dist_Taxi,Dist_Market,Dist_Metro,Store_Area,Items_Available,Parking,Coupon_Category,Daily_Customer_Count,Store_Sales
886,11751,12708,15442,1977,2362,No Parking,CAT B,1020,59950
887,6189,12084,11926,1293,1558,Open,CAT A,790,78100
888,8572,9942,14479,1477,1790,Open,CAT C,880,16370
889,11103,12451,17711,1582,1906,Covered,CAT A,550,92640
890,11581,11561,15935,1481,1789,Not Provided,CAT B,550,63540
891,10396,14997,15491,1214,1455,Covered,CAT A,950,87220
892,7647,7118,8842,1206,1460,No Parking,CAT B,810,41990
893,9866,10124,14776,1653,1982,Covered,CAT A,390,79410
894,10191,9752,14157,1152,1393,Not Provided,CAT B,860,54380
895,8320,11644,12967,1458,1757,Not Provided,CAT A,850,58600
896,6096,8908,12009,1249,1510,Open,CAT B,660,48950
897,6630,10006,10402,1939,2333,Not Provided,CAT B,830,40670
898,6208,10158,11935,1591,1919,Not Provided,CAT B,640,52340
899,5243,7079,8592,1180,1397,Open,CAT C,750,39140
900,10208,12161,16663,1846,2195,Open,CAT C,1170,41090
901,8475,8742,12781,780,951,Covered,CAT C,790,25600
902,11805,13503,16890,1565,1854,Open,CAT A,900,100900
903,11304,17958,19046,1648,1959,No Parking,CAT A,370,77080
904,7767,13460,9901,1775,2104,Covered,CAT A,980,105150
905,12834,11668,17029,1439,1732,Open,CAT A,1170,80580
906,6171,5639,10068,1487,1776,Not Provided,CAT C,800,46230
907,10172,12781,14850,1800,2158,Open,CAT A,1100,98260
908,7821,14264,15354,1690,2024,Not Provided,CAT A,1070,75930
909,11264,12005,13876,1209,1452,Open,CAT C,830,52050
910,7124,11688,12853,1859,2222,Covered,CAT A,1210,87000
911,4775,6455,7672,1691,2023,No Parking,CAT B,540,60270
912,8650,11399,11434,1259,1493,Open,CAT A,100,88270
913,7550,12641,14060,1771,2138,Not Provided,CAT B,820,57820
914,8979,10075,13734,1205,1468,Open,CAT B,1210,61210
915,9652,9102,12608,1792,2131,No Parking,CAT A,810,76420
916,,,13077,1581,1889,Open,CAT C,970,60290
917,8929,12396,12930,1263,1516,Covered,CAT A,780,70980
918,9866,11461,15834,1344,1605,No Parking,CAT A,1160,76740
919,10022,12911,16307,1819,2187,Not Provided,CAT B,590,47920
920,6741,11479,11152,1357,1625,Open,CAT A,1140,52160
921,10840,11137,15466,1396,1673,Open,CAT C,690,32740
922,9205,10418,14496,1118,1337,Open,CAT A,560,72270
923,9538,11551,12839,1655,1986,Covered,CAT B,1150,77430
924,11786,13969,15519,1156,1398,Open,CAT A,140,92370
925,9615,7904,12521,1451,1734,Open,CAT C,670,34880
926,7176,5779,12382,1539,1829,Open,CAT B,650,46580
927,10915,17486,15964,1549,1851,Not Provided,CAT C,1220,70620
928,12176,8518,15673,1582,1910,Covered,CAT C,1080,66390
929,7214,8717,10553,1387,1663,Open,CAT A,850,82080
930,7423,11708,13220,1200,1436,Open,CAT A,1060,76440
931,15082,14700,19617,1299,1560,Open,CAT B,770,96610
932,9297,12537,14418,1174,1429,Covered,CAT C,1110,54340
