ID,delinquent,Sdelinquent,term,gender,purpose,home_ownership,age,FICO
7096,Yes,1,36 months,Female,House,Rent,>25,300-500
7097,No,0,36 months,Male,House,Mortgage,20-25,>500
7098,Yes,1,36 months,Female,House,Rent,20-25,>500
7099,No,0,60 months,Male,House,Mortgage,>25,300-500
7100,No,0,36 months,Female,Personal,Mortgage,20-25,>500
7101,Yes,1,36 months,Male,House,Rent,20-25,300-500
7102,No,0,36 months,Male,House,Mortgage,>25,>500
7103,No,0,36 months,Male,House,Rent,20-25,>500
7104,Yes,1,36 months,Male,House,Rent,20-25,300-500
7105,Yes,1,36 months,Male,House,Rent,>25,>500
7106,No,0,60 months,Male,Car,Own,>25,300-500
7107,Yes,1,36 months,Female,Other,Own,>25,300-500
7108,Yes,1,36 months,Male,House,Rent,>25,>500
7109,Yes,1,36 months,Male,House,Mortgage,20-25,>500
7110,Yes,1,36 months,Male,Car,Mortgage,20-25,300-500
7111,No,0,36 months,Female,House,Rent,>25,>500
7112,Yes,1,36 months,Male,Other,Mortgage,20-25,300-500
7113,No,0,36 months,Female,House,Rent,20-25,300-500
7114,No,0,36 months,Female,Car,Rent,20-25,>500
7115,Yes,1,36 months,Male,Car,Mortgage,20-25,300-500
7116,No,0,36 months,Female,Other,Rent,>25,>500
7117,Yes,1,36 months,Female,Car,Mortgage,20-25,>500
7118,Yes,1,36 months,Male,House,Mortgage,>25,>500
7119,No,0,60 months,Male,House,Mortgage,>25,300-500
7120,Yes,1,36 months,Female,House,Mortgage,>25,300-500
7121,Yes,1,36 months,Female,Personal,Mortgage,>25,300-500
7122,Yes,1,36 months,Female,House,Mortgage,20-25,>500
7123,Yes,1,36 months,Male,Medical,Mortgage,>25,>500
7124,Yes,1,36 months,Female,Car,Mortgage,>25,300-500
7125,Yes,1,36 months,Female,Personal,Mortgage,>25,>500
7126,Yes,1,36 months,Female,House,Rent,>25,300-500
7127,Yes,1,36 months,Male,Wedding,Mortgage,20-25,300-500
7128,Yes,1,36 months,Male,House,Mortgage,>25,>500
7129,No,0,60 months,Male,House,Rent,>25,300-500
7130,Yes,1,36 months,Female,House,Mortgage,>25,300-500
7131,Yes,1,36 months,Male,House,Own,20-25,300-500
7132,No,0,36 months,Male,Car,Rent,20-25,300-500
7133,Yes,1,60 months,Male,House,Rent,20-25,>500
7134,Yes,1,36 months,Female,House,Rent,20-25,300-500
7135,Yes,1,36 months,Male,House,Own,20-25,300-500
7136,No,0,36 months,Female,House,Rent,20-25,>500
7137,Yes,1,36 months,Male,House,Rent,20-25,>500
7138,Yes,1,36 months,Male,Car,Mortgage,20-25,300-500
7139,Yes,1,36 months,Male,Car,Rent,20-25,300-500
7140,Yes,1,36 months,Male,House,Mortgage,>25,>500
7141,Yes,1,36 months,Male,House,Rent,20-25,300-500
7142,No,0,36 months,Male,House,Mortgage,>25,>500
7143,Yes,1,36 months,Male,Other,Own,20-25,>500
7144,No,0,36 months,Male,House,Mortgage,>25,>500
7145,No,0,36 months,Female,House,Mortgage,>25,>500
7146,Yes,1,36 months,Male,House,Rent,20-25,300-500
7147,No,0,36 months,Female,House,Mortgage,20-25,>500
7148,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
7149,Yes,1,36 months,Male,House,Rent,20-25,300-500
7150,Yes,1,36 months,Male,Medical,Mortgage,20-25,300-500
7151,No,0,60 months,Male,House,Rent,>25,300-500
7152,Yes,1,36 months,Male,Car,Rent,>25,>500
7153,Yes,1,36 months,Female,House,Own,20-25,300-500
7154,Yes,1,60 months,Male,Car,Mortgage,20-25,>500
7155,No,0,36 months,Female,House,Rent,20-25,>500
7156,Yes,1,36 months,Female,House,Mortgage,>25,>500
7157,Yes,1,36 months,Male,Car,Rent,20-25,300-500
7158,No,0,36 months,Female,House,Rent,20-25,>500
7159,No,0,60 months,Male,other,Rent,>25,300-500
7160,No,0,36 months,Male,Other,Mortgage,>25,>500
7161,No,0,36 months,Male,House,Mortgage,20-25,>500
7162,Yes,1,36 months,Male,Car,Mortgage,20-25,300-500
7163,Yes,1,36 months,Female,Medical,Rent,>25,300-500
7164,Yes,1,36 months,Male,Car,Rent,20-25,300-500
7165,Yes,1,36 months,Female,Personal,Mortgage,>25,300-500
7166,No,0,60 months,Male,Personal,Rent,>25,>500
7167,Yes,1,36 months,Female,House,Own,20-25,300-500
7168,Yes,1,36 months,Female,House,Own,>25,300-500
7169,Yes,1,36 months,Male,House,Own,>25,>500
7170,Yes,1,60 months,Male,House,Mortgage,20-25,>500
7171,No,0,36 months,Male,House,Own,20-25,>500
7172,Yes,1,36 months,Female,House,Own,>25,300-500
7173,No,0,36 months,Female,Car,Rent,>25,>500
7174,Yes,1,36 months,Male,Personal,Mortgage,20-25,300-500
7175,No,0,36 months,Male,House,Rent,>25,>500
7176,No,0,36 months,Female,House,Rent,20-25,>500
7177,Yes,1,36 months,Male,Personal,Mortgage,20-25,300-500
7178,Yes,1,36 months,Female,House,Mortgage,>25,300-500
7179,No,0,36 months,Male,House,Mortgage,20-25,>500
7180,Yes,1,36 months,Female,House,Rent,20-25,300-500
7181,Yes,1,36 months,Male,Car,Mortgage,20-25,300-500
7182,Yes,1,36 months,Female,House,Rent,>25,300-500
7183,No,0,36 months,Female,House,Mortgage,>25,>500
7184,No,0,36 months,Female,House,Rent,>25,>500
7185,Yes,1,36 months,Male,Car,Mortgage,20-25,300-500
7186,Yes,1,36 months,Male,Car,Rent,20-25,300-500
7187,No,0,36 months,Male,House,Mortgage,20-25,>500
7188,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
7189,No,0,60 months,Male,other,Rent,>25,>500
7190,Yes,1,36 months,Female,House,Mortgage,>25,300-500
7191,Yes,1,36 months,Female,House,Rent,>25,300-500
7192,Yes,1,36 months,Female,House,Own,20-25,300-500
7193,Yes,1,36 months,Female,Other,Mortgage,>25,>500
7194,Yes,1,36 months,Female,House,Rent,>25,300-500
7195,No,0,36 months,Female,House,Mortgage,20-25,>500
7196,Yes,1,36 months,Male,House,Rent,20-25,300-500
7197,Yes,1,36 months,Male,House,Rent,20-25,300-500
7198,Yes,1,36 months,Female,House,Rent,>25,300-500
7199,No,0,36 months,Male,Car,Rent,20-25,300-500
7200,Yes,1,36 months,Female,House,Mortgage,20-25,>500
7201,Yes,1,36 months,Male,Other,Rent,20-25,300-500
7202,No,0,36 months,Male,Wedding,Rent,>25,>500
7203,No,0,36 months,Female,House,Mortgage,20-25,>500
7204,Yes,1,36 months,Female,Car,Rent,>25,300-500
7205,No,0,36 months,Male,Car,Rent,20-25,300-500
7206,No,0,36 months,Female,Personal,Mortgage,20-25,>500
7207,No,0,36 months,Male,House,Mortgage,20-25,>500
7208,No,0,60 months,Male,House,Mortgage,>25,300-500
7209,No,0,36 months,Male,House,Mortgage,20-25,300-500
7210,Yes,1,36 months,Male,House,Rent,20-25,300-500
7211,Yes,1,36 months,Male,House,Mortgage,>25,>500
7212,Yes,1,36 months,Female,House,Rent,>25,>500
7213,Yes,1,36 months,Male,Car,Mortgage,20-25,>500
7214,No,0,60 months,Male,House,Mortgage,>25,300-500
7215,Yes,1,36 months,Male,Car,Mortgage,>25,>500
7216,No,0,36 months,Female,House,Mortgage,20-25,>500
7217,No,0,36 months,Female,House,Mortgage,>25,>500
7218,Yes,1,36 months,Female,House,Rent,>25,>500
7219,No,0,36 months,Male,Car,Rent,20-25,>500
7220,Yes,1,36 months,Male,Car,Rent,20-25,300-500
7221,No,0,36 months,Male,Other,Mortgage,20-25,>500
7222,Yes,1,36 months,Female,House,Rent,>25,300-500
7223,Yes,1,36 months,Male,House,Rent,>25,>500
7224,Yes,1,36 months,Female,Medical,Mortgage,>25,300-500
7225,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
7226,No,0,36 months,Female,House,Mortgage,>25,>500
7227,Yes,1,36 months,Male,House,Rent,20-25,300-500
7228,Yes,1,36 months,Male,Other,Mortgage,20-25,300-500
7229,Yes,1,36 months,Male,House,Rent,>25,>500
7230,Yes,1,36 months,Male,Car,Mortgage,>25,>500
7231,Yes,1,36 months,Female,House,Mortgage,20-25,>500
7232,Yes,1,36 months,Female,Personal,Mortgage,20-25,300-500
7233,No,0,36 months,Male,House,Mortgage,20-25,300-500
7234,Yes,1,36 months,Male,Car,Mortgage,20-25,300-500
7235,Yes,1,36 months,Female,House,Rent,>25,300-500
7236,Yes,1,36 months,Female,House,Rent,20-25,300-500
7237,No,0,36 months,Female,House,Mortgage,20-25,>500
7238,No,0,60 months,Male,House,Own,>25,300-500
7239,Yes,1,36 months,Male,Car,Mortgage,20-25,300-500
7240,No,0,36 months,Male,Personal,Mortgage,20-25,300-500
7241,No,0,36 months,Male,House,Rent,20-25,300-500
7242,No,0,36 months,Male,House,Rent,20-25,300-500
7243,No,0,36 months,Female,House,Rent,>25,>500
7244,Yes,1,36 months,Female,House,Rent,>25,>500
7245,Yes,1,36 months,Male,House,Rent,20-25,300-500
7246,Yes,1,36 months,Female,House,Mortgage,20-25,300-500
7247,Yes,1,36 months,Female,House,Rent,>25,300-500
7248,Yes,1,36 months,Female,Personal,Mortgage,>25,300-500
7249,No,0,36 months,Female,House,Mortgage,20-25,>500
7250,Yes,1,36 months,Male,Personal,Mortgage,20-25,300-500
7251,Yes,1,36 months,Female,Personal,Mortgage,>25,300-500
7252,Yes,1,36 months,Male,House,Rent,20-25,300-500
7253,Yes,1,36 months,Female,House,Mortgage,>25,300-500
7254,Yes,1,36 months,Male,Car,Rent,20-25,300-500
7255,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
7256,Yes,1,36 months,Female,House,Rent,20-25,300-500
7257,Yes,1,36 months,Male,Medical,Rent,20-25,300-500
7258,Yes,1,36 months,Male,Wedding,Rent,20-25,300-500
7259,Yes,1,36 months,Male,Car,Rent,20-25,300-500
7260,No,0,36 months,Female,Other,Mortgage,20-25,>500
7261,Yes,1,36 months,Female,House,Rent,>25,300-500
7262,Yes,1,36 months,Female,Wedding,Mortgage,20-25,300-500
7263,Yes,1,36 months,Female,House,Rent,>25,300-500
7264,Yes,1,36 months,Male,House,Own,20-25,300-500
7265,Yes,1,36 months,Male,Personal,Mortgage,20-25,300-500
7266,Yes,1,36 months,Female,House,Mortgage,>25,300-500
7267,No,0,36 months,Female,House,Rent,>25,>500
7268,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
7269,Yes,1,36 months,Male,House,Rent,20-25,300-500
7270,Yes,1,36 months,Male,House,Rent,20-25,300-500
7271,Yes,1,36 months,Female,Car,Mortgage,>25,>500
7272,Yes,1,60 months,Male,House,Own,20-25,>500
7273,No,0,36 months,Female,Personal,Mortgage,20-25,>500
7274,Yes,1,36 months,Female,House,Mortgage,>25,300-500
7275,No,0,36 months,Male,Medical,Own,>25,>500
7276,Yes,1,36 months,Male,House,Rent,20-25,300-500
7277,No,0,36 months,Female,House,Mortgage,20-25,>500
7278,Yes,1,36 months,Male,Other,Rent,20-25,300-500
7279,No,0,36 months,Female,House,Rent,20-25,>500
7280,Yes,1,36 months,Male,House,Rent,20-25,300-500
7281,Yes,1,36 months,Male,House,Rent,20-25,300-500
7282,Yes,1,36 months,Female,House,Mortgage,>25,300-500
7283,No,0,36 months,Female,House,Mortgage,>25,>500
7284,Yes,1,36 months,Female,House,Mortgage,>25,300-500
7285,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
7286,No,0,36 months,Female,House,Rent,20-25,>500
7287,No,0,36 months,Female,House,Mortgage,20-25,>500
7288,No,0,36 months,Male,House,Rent,20-25,300-500
7289,Yes,1,36 months,Male,House,Rent,20-25,300-500
7290,Yes,1,36 months,Male,House,Mortgage,>25,>500
7291,Yes,1,36 months,Female,Car,Own,>25,300-500
7292,Yes,1,36 months,Male,House,Rent,20-25,300-500
7293,No,0,36 months,Male,Personal,Mortgage,20-25,>500
7294,No,0,36 months,Male,House,Rent,20-25,300-500
7295,No,0,36 months,Female,House,Mortgage,20-25,>500
7296,No,0,36 months,Male,Car,Rent,20-25,300-500
7297,Yes,1,36 months,Female,House,Rent,>25,300-500
7298,Yes,1,36 months,Male,House,Rent,20-25,300-500
7299,No,0,36 months,Female,Other,Mortgage,20-25,300-500
7300,Yes,1,36 months,Male,Personal,Mortgage,20-25,300-500
7301,No,0,36 months,Male,Medical,Rent,20-25,>500
7302,Yes,1,36 months,Male,House,Rent,20-25,300-500
7303,Yes,1,36 months,Female,House,Rent,>25,300-500
7304,Yes,1,36 months,Female,Personal,Mortgage,>25,300-500
7305,Yes,1,36 months,Male,House,Rent,>25,>500
7306,Yes,1,36 months,Female,House,Mortgage,>25,300-500
7307,Yes,1,36 months,Female,House,Mortgage,20-25,300-500
7308,No,0,36 months,Male,Car,Own,20-25,300-500
7309,No,0,36 months,Female,House,Rent,>25,>500
7310,Yes,1,36 months,Male,House,Rent,>25,>500
7311,Yes,1,36 months,Female,House,Mortgage,>25,300-500
7312,No,0,60 months,Male,House,Mortgage,>25,300-500
7313,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
7314,Yes,1,36 months,Female,House,Rent,>25,300-500
7315,Yes,1,36 months,Female,Medical,Mortgage,>25,>500
7316,Yes,1,36 months,Male,Car,Rent,20-25,300-500
7317,Yes,1,36 months,Male,Personal,Mortgage,>25,>500
7318,Yes,1,36 months,Male,Car,Mortgage,20-25,300-500
7319,Yes,1,36 months,Male,Car,Mortgage,>25,>500
7320,Yes,1,36 months,Female,House,Rent,20-25,>500
7321,Yes,1,36 months,Female,House,Rent,>25,300-500
7322,No,0,60 months,Male,Personal,Mortgage,>25,>500
7323,Yes,1,60 months,Male,Car,Mortgage,20-25,>500
7324,Yes,1,36 months,Male,House,Rent,20-25,300-500
7325,Yes,1,36 months,Male,House,Rent,20-25,300-500
7326,Yes,1,36 months,Female,House,Mortgage,>25,300-500
7327,Yes,1,36 months,Male,House,Rent,>25,>500
7328,No,0,36 months,Female,Other,Own,20-25,>500
7329,Yes,1,36 months,Male,Car,Mortgage,>25,>500
7330,No,0,60 months,Male,House,Rent,20-25,>500
7331,Yes,1,36 months,Male,House,Rent,20-25,300-500
7332,Yes,1,36 months,Male,Car,Own,20-25,300-500
7333,Yes,1,36 months,Male,Personal,Mortgage,20-25,300-500
7334,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
7335,Yes,1,36 months,Male,House,Own,>25,>500
7336,Yes,1,36 months,Male,Personal,Mortgage,>25,>500
7337,Yes,1,36 months,Female,Car,Mortgage,>25,300-500
7338,Yes,1,60 months,Male,other,Rent,20-25,>500
7339,Yes,1,36 months,Female,House,Rent,>25,300-500
7340,No,0,36 months,Female,House,Mortgage,20-25,300-500
7341,Yes,1,36 months,Male,House,Rent,>25,>500
7342,Yes,1,36 months,Male,House,Rent,20-25,300-500
7343,No,0,36 months,Female,House,Rent,>25,>500
7344,Yes,1,36 months,Female,House,Own,>25,300-500
7345,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
7346,Yes,1,36 months,Male,Wedding,Mortgage,20-25,300-500
7347,Yes,1,36 months,Male,Car,Mortgage,20-25,300-500
7348,No,0,36 months,Female,House,Rent,>25,>500
7349,No,0,36 months,Female,House,Mortgage,>25,>500
7350,Yes,1,36 months,Male,Other,Rent,20-25,300-500
7351,Yes,1,36 months,Female,Car,Mortgage,20-25,300-500
7352,No,0,60 months,Male,House,Mortgage,>25,>500
7353,No,0,36 months,Male,Personal,Mortgage,20-25,>500
7354,Yes,1,36 months,Male,House,Mortgage,>25,>500
7355,No,0,36 months,Female,House,Mortgage,20-25,>500
7356,No,0,36 months,Female,House,Rent,>25,>500
7357,Yes,1,36 months,Female,Personal,Mortgage,20-25,300-500
7358,No,0,36 months,Male,Other,Mortgage,20-25,>500
7359,Yes,1,36 months,Male,House,Rent,20-25,300-500
7360,Yes,1,36 months,Male,Car,Mortgage,>25,>500
7361,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
7362,Yes,1,36 months,Female,House,Rent,>25,300-500
7363,No,0,36 months,Male,House,Rent,>25,>500
7364,No,0,36 months,Female,House,Mortgage,20-25,>500
7365,Yes,1,36 months,Female,Car,Mortgage,20-25,300-500
7366,No,0,36 months,Male,House,Mortgage,20-25,300-500
7367,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
7368,Yes,1,36 months,Male,House,Rent,20-25,300-500
7369,No,0,36 months,Male,Other,Mortgage,20-25,300-500
7370,Yes,1,36 months,Male,House,Mortgage,>25,>500
7371,Yes,1,36 months,Female,House,Rent,>25,300-500
7372,No,0,36 months,Female,Car,Rent,20-25,>500
7373,Yes,1,36 months,Female,House,Rent,>25,300-500
7374,No,0,36 months,Female,Other,Mortgage,20-25,>500
7375,No,0,36 months,Male,House,Rent,20-25,300-500
7376,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
7377,Yes,1,36 months,Female,House,Mortgage,>25,300-500
7378,No,0,36 months,Female,Other,Rent,20-25,>500
7379,No,0,60 months,Male,House,Mortgage,>25,>500
7380,Yes,1,36 months,Male,Other,Rent,>25,>500
7381,Yes,1,36 months,Male,Other,Mortgage,20-25,300-500
7382,Yes,1,36 months,Male,Other,Mortgage,20-25,300-500
7383,Yes,1,36 months,Male,Personal,Rent,20-25,300-500
7384,Yes,1,36 months,Female,Car,Rent,>25,300-500
7385,Yes,1,36 months,Male,House,Rent,>25,>500
7386,No,0,36 months,Male,House,Mortgage,20-25,300-500
7387,No,0,36 months,Female,House,Rent,>25,>500
7388,Yes,1,36 months,Male,House,Rent,20-25,300-500
7389,No,0,36 months,Female,House,Mortgage,>25,>500
7390,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
7391,Yes,1,36 months,Female,Other,Mortgage,>25,300-500
7392,Yes,1,36 months,Female,House,Rent,>25,300-500
7393,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
7394,Yes,1,36 months,Female,Personal,Mortgage,>25,>500
7395,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
7396,Yes,1,36 months,Male,House,Rent,20-25,300-500
7397,Yes,1,36 months,Male,Car,Mortgage,20-25,300-500
7398,No,0,36 months,Female,Personal,Mortgage,>25,>500
7399,Yes,1,36 months,Female,House,Mortgage,>25,300-500
7400,Yes,1,36 months,Male,House,Mortgage,>25,>500
7401,Yes,1,36 months,Male,Personal,Mortgage,20-25,300-500
7402,Yes,1,36 months,Female,House,Mortgage,>25,300-500
7403,Yes,1,60 months,Male,House,Mortgage,20-25,>500
7404,No,0,36 months,Male,House,Mortgage,20-25,>500
7405,No,0,36 months,Female,House,Mortgage,20-25,>500
7406,No,0,36 months,Male,Other,Own,20-25,300-500
7407,Yes,1,36 months,Male,House,Rent,20-25,300-500
7408,Yes,1,60 months,Male,Car,Rent,20-25,>500
7409,Yes,1,36 months,Female,Car,Rent,20-25,>500
7410,Yes,1,36 months,Female,Other,Mortgage,>25,300-500
7411,Yes,1,36 months,Female,Car,Rent,>25,300-500
7412,Yes,1,36 months,Female,Other,Rent,20-25,300-500
7413,No,0,36 months,Female,House,Rent,20-25,300-500
7414,Yes,1,36 months,Female,House,Own,20-25,300-500
7415,No,0,36 months,Female,House,Mortgage,>25,>500
7416,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
7417,Yes,1,36 months,Male,Medical,Rent,20-25,300-500
7418,Yes,1,36 months,Female,House,Mortgage,>25,300-500
7419,Yes,1,36 months,Male,House,Rent,>25,>500
7420,No,0,36 months,Female,House,Mortgage,>25,>500
7421,No,0,36 months,Male,House,Mortgage,>25,>500
7422,Yes,1,36 months,Male,House,Mortgage,>25,>500
7423,Yes,1,36 months,Male,Car,Rent,20-25,300-500
7424,Yes,1,36 months,Male,Other,Rent,>25,>500
7425,Yes,1,36 months,Male,Medical,Mortgage,>25,>500
7426,Yes,1,36 months,Female,Wedding,Mortgage,>25,300-500
7427,No,0,36 months,Female,House,Mortgage,20-25,>500
7428,Yes,1,36 months,Male,House,Mortgage,>25,>500
7429,Yes,1,36 months,Female,Other,Own,>25,300-500
7430,No,0,60 months,Male,other,Own,>25,300-500
7431,No,0,36 months,Male,Car,Rent,20-25,>500
7432,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
7433,Yes,1,36 months,Male,House,Own,>25,>500
7434,Yes,1,36 months,Male,House,Rent,20-25,300-500
7435,No,0,36 months,Female,Other,Mortgage,>25,>500
7436,Yes,1,36 months,Female,House,Mortgage,20-25,300-500
7437,Yes,1,36 months,Male,Car,Rent,20-25,300-500
7438,No,0,60 months,Male,Personal,Rent,>25,300-500
7439,Yes,1,36 months,Male,House,Rent,>25,>500
7440,Yes,1,36 months,Female,House,Mortgage,>25,300-500
7441,Yes,1,36 months,Female,House,Mortgage,>25,300-500
7442,Yes,1,36 months,Female,House,Mortgage,>25,>500
7443,No,0,36 months,Female,House,Rent,>25,>500
7444,Yes,1,36 months,Female,Other,Rent,>25,300-500
7445,Yes,1,60 months,Male,House,Rent,20-25,>500
7446,Yes,1,36 months,Male,House,Mortgage,>25,>500
7447,Yes,1,36 months,Male,Other,Mortgage,20-25,>500
7448,No,0,36 months,Male,Personal,Mortgage,>25,>500
7449,Yes,1,36 months,Female,Personal,Mortgage,>25,300-500
7450,Yes,1,36 months,Male,House,Rent,20-25,300-500
7451,No,0,36 months,Female,House,Mortgage,>25,>500
7452,Yes,1,36 months,Male,House,Rent,20-25,300-500
7453,Yes,1,36 months,Female,Wedding,Rent,>25,300-500
7454,No,0,36 months,Male,Car,Mortgage,20-25,300-500
7455,No,0,36 months,Male,House,Rent,20-25,300-500
7456,Yes,1,36 months,Female,House,Mortgage,>25,300-500
7457,No,0,36 months,Female,House,Mortgage,>25,>500
7458,No,0,60 months,Male,House,Mortgage,>25,300-500
7459,Yes,1,36 months,Female,House,Mortgage,>25,300-500
7460,No,0,36 months,Male,House,Rent,20-25,>500
7461,Yes,1,36 months,Female,House,Mortgage,>25,300-500
7462,No,0,36 months,Female,Car,Rent,>25,>500
7463,No,0,60 months,Male,House,Mortgage,>25,300-500
7464,Yes,1,36 months,Female,House,Rent,20-25,300-500
7465,Yes,1,36 months,Female,Car,Mortgage,>25,300-500
7466,Yes,1,36 months,Female,House,Mortgage,>25,300-500
7467,Yes,1,36 months,Male,Car,Mortgage,20-25,300-500
7468,Yes,1,36 months,Male,Personal,Mortgage,20-25,300-500
7469,Yes,1,36 months,Male,Car,Own,20-25,300-500
7470,Yes,1,36 months,Female,House,Rent,>25,>500
7471,No,0,36 months,Male,House,Rent,20-25,>500
7472,Yes,1,36 months,Female,Car,Rent,20-25,300-500
7473,No,0,36 months,Female,House,Mortgage,>25,>500
7474,Yes,1,36 months,Female,House,Rent,>25,300-500
7475,Yes,1,36 months,Male,Car,Mortgage,20-25,300-500
7476,Yes,1,36 months,Male,House,Rent,20-25,300-500
7477,No,0,36 months,Female,Medical,Mortgage,20-25,>500
7478,No,0,36 months,Female,Car,Mortgage,>25,>500
7479,Yes,1,36 months,Male,Other,Mortgage,20-25,300-500
7480,No,0,36 months,Female,House,Rent,>25,>500
7481,No,0,36 months,Female,Wedding,Mortgage,>25,>500
7482,No,0,36 months,Male,House,Own,20-25,300-500
7483,Yes,1,36 months,Male,House,Rent,20-25,300-500
7484,Yes,1,36 months,Female,House,Rent,>25,300-500
7485,No,0,36 months,Female,House,Mortgage,20-25,>500
7486,No,0,36 months,Male,House,Mortgage,20-25,300-500
7487,Yes,1,36 months,Male,Other,Own,20-25,300-500
7488,Yes,1,36 months,Male,House,Rent,20-25,300-500
7489,Yes,1,36 months,Female,Other,Rent,20-25,300-500
7490,Yes,1,36 months,Female,House,Mortgage,>25,300-500
7491,Yes,1,36 months,Female,House,Rent,>25,300-500
7492,Yes,1,36 months,Female,Other,Mortgage,20-25,>500
7493,Yes,1,36 months,Male,Personal,Mortgage,20-25,300-500
7494,No,0,36 months,Female,Other,Rent,>25,>500
7495,Yes,1,60 months,Male,House,Mortgage,20-25,>500
7496,Yes,1,36 months,Female,Car,Mortgage,20-25,300-500
7497,Yes,1,36 months,Male,Other,Mortgage,20-25,>500
7498,Yes,1,36 months,Male,House,Rent,20-25,300-500
7499,Yes,1,36 months,Male,House,Rent,20-25,300-500
7500,Yes,1,36 months,Female,House,Rent,>25,300-500
7501,No,0,36 months,Female,Other,Mortgage,20-25,>500
7502,Yes,1,36 months,Male,House,Rent,20-25,300-500
7503,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
7504,No,0,60 months,Male,Car,Rent,>25,300-500
7505,Yes,1,36 months,Male,House,Rent,20-25,300-500
7506,Yes,1,36 months,Male,Personal,Mortgage,20-25,300-500
7507,Yes,1,36 months,Female,House,Mortgage,>25,300-500
7508,No,0,36 months,Female,House,Mortgage,20-25,>500
7509,Yes,1,36 months,Male,House,Rent,>25,>500
7510,Yes,1,36 months,Female,House,Rent,>25,300-500
7511,Yes,1,36 months,Female,House,Mortgage,>25,300-500
7512,Yes,1,36 months,Female,Car,Rent,>25,300-500
7513,Yes,1,36 months,Female,House,Mortgage,>25,300-500
7514,Yes,1,60 months,Male,Car,Mortgage,20-25,>500
7515,Yes,1,36 months,Male,House,Rent,20-25,300-500
7516,No,0,36 months,Male,House,Mortgage,20-25,>500
7517,Yes,1,36 months,Female,House,Rent,>25,300-500
7518,No,0,36 months,Female,Personal,Mortgage,>25,>500
7519,No,0,36 months,Female,House,Rent,20-25,>500
7520,Yes,1,36 months,Female,House,Rent,>25,>500
7521,Yes,1,36 months,Female,Other,Rent,>25,>500
7522,Yes,1,36 months,Male,House,Mortgage,>25,>500
7523,Yes,1,36 months,Male,Medical,Rent,20-25,300-500
7524,Yes,1,36 months,Female,House,Mortgage,20-25,300-500
7525,Yes,1,36 months,Male,House,Own,20-25,>500
7526,Yes,1,36 months,Male,House,Rent,>25,>500
7527,Yes,1,36 months,Male,Other,Mortgage,20-25,300-500
7528,Yes,1,36 months,Male,House,Own,20-25,300-500
7529,No,0,36 months,Male,Personal,Own,>25,>500
7530,No,0,60 months,Male,House,Rent,>25,>500
7531,Yes,1,36 months,Male,Car,Mortgage,20-25,300-500
7532,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
7533,Yes,1,36 months,Female,House,Mortgage,>25,300-500
7534,Yes,1,36 months,Male,Car,Mortgage,>25,>500
7535,Yes,1,36 months,Female,House,Rent,>25,>500
7536,No,0,36 months,Female,House,Rent,20-25,>500
7537,Yes,1,36 months,Female,Other,Mortgage,>25,300-500
7538,No,0,60 months,Male,Car,Rent,>25,300-500
7539,Yes,1,36 months,Male,Personal,Mortgage,20-25,300-500
7540,Yes,1,36 months,Male,Personal,Mortgage,20-25,>500
7541,Yes,1,36 months,Female,House,Rent,>25,300-500
7542,Yes,1,36 months,Male,House,Mortgage,>25,>500
7543,No,0,36 months,Female,House,Rent,20-25,>500
7544,Yes,1,36 months,Male,House,Rent,>25,>500
7545,Yes,1,36 months,Female,House,Rent,20-25,300-500
7546,Yes,1,36 months,Female,House,Mortgage,>25,300-500
7547,Yes,1,36 months,Male,House,Rent,20-25,300-500
7548,No,0,36 months,Female,Other,Mortgage,>25,>500
7549,Yes,1,36 months,Male,House,Rent,20-25,300-500
7550,Yes,1,36 months,Female,Wedding,Mortgage,>25,>500
7551,Yes,1,36 months,Male,House,Rent,>25,>500
7552,No,0,36 months,Male,House,Rent,20-25,>500
7553,Yes,1,36 months,Female,House,Own,>25,300-500
7554,Yes,1,36 months,Male,House,Rent,>25,>500
7555,Yes,1,36 months,Male,House,Rent,20-25,300-500
7556,Yes,1,36 months,Female,House,Rent,20-25,300-500
7557,Yes,1,36 months,Male,Personal,Mortgage,>25,>500
7558,No,0,36 months,Male,Car,Mortgage,>25,>500
7559,Yes,1,36 months,Male,House,Mortgage,>25,>500
7560,Yes,1,36 months,Male,Car,Mortgage,20-25,300-500
7561,No,0,36 months,Female,House,Mortgage,>25,>500
